Country,Region,Languages,Religion,Population,Area (km2),Happiness,GDP per Cap,Gender Ratio %,Gender Gap,Suicide per 100k,Suicide 5-14 years,Suicide 15-49 years,Suicide  50-69 years,Suicide 70+ years,Unemployment (%),Divorce Rate per 100k,GINI,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk religion,Other religion,Jewish,Hunger (rate),Urbanization (rate),Democracy (value),Holiday (Paid Days),Fertility (per woman),Air Quality (Value),Homicide per 100k,Prison (per 100k),Alchool (per cap),Drugs Usage (per cap),Antidepressants (per cap),Congestion (Per capita),Power Distance,Individualism,Masculinity,Uncertainity Avoidance,Long Term Orientation,Net Migration,Mortality
Belarus,Eastern Europe,Europe (other),Christian,9439000,202988.0078,5.596,5945.374,53.47,X,24.9390509,0.605,24.865,34.625,39.855,0.49,44.57,25.2,71.2,0.2,28.6,0,0,0,0,0,5,79.5,2.48,29,1.72,X,2.39,343,11.2,0.78,X,109.39,X,X,X,X,X,1.5,12.6
Belize,Latin America and Caribbean,English,Christian,361000,22810,5.96,4836.366,50.09,0.6449,6.795064383,0.235,8.965,12.5,18.26,9.97,X,53.3,87.6,0.1,8.9,0.2,0.5,1.5,0.1,1,X,46,X,27,2.44,X,37.9,356,6.8,0.83,X,X,X,X,X,X,X,4.4,4.62
Bolivia,Latin America and Caribbean,Spanish,Christian,10870000,1083300,5.812,3312.882,49.74,0.734,5.817375863,0.6,6.995,12.29,15.92,3.07,X,42.2,93.9,0.1,4.1,0,0,0.9,1,0,15.4,70.1,4.84,26,2.89,X,6.3,158,4.8,0.9,X,X,X,X,X,X,X,-1.1,6.89
Brazil,Latin America and Caribbean,Portuguese,Christian,204472000,8358140,6.658,9033.582,50.77,0.6949,6.53988263,0.43,8.055,8.96,9.88,8.44,21.21,53.9,95.9,0.8,7.9,0,0.1,2.8,0.2,0.06,5,87.1,6.86,22,1.75,15.77,27.38,348,7.8,1.05,X,177.06,69,38,49,76,65,0,6.25
Bhutan,Southern Asia,Asia (other),Buddhist,728000,38143.99902,5.124,2442.604,47.24,0.6651,5.152813766,0.275,6,10.715,17.465,2.45,X,37.4,0.5,0.2,0,22.6,74.7,1.9,0,0,X,42.3,5.3,0,2.04,X,1.19,145,0.6,0.53,X,X,X,X,X,X,X,0.1,6.26
Botswana,Sub-Saharan Africa,English,Christian,2121000,566730,3.83,7635.576,51.85,0.6752,8.824516087,0.09,11.12,17.81,29.365,17.01,X,53.3,72.1,0.4,20.6,0.3,0,6,0.6,0,23.6,70.9,7.81,29,2.97,X,15.04,208,8.4,0.75,X,X,X,X,X,X,X,-7.1,6.26
Central African Republic,Sub-Saharan Africa,French,Christian,4493000,622980,3.1325,434.874,50.45,X,11.14365291,0.8,13.505,39.955,55.53,6.39,X,56.2,89.5,15,1,0,0,1,0,0,53.6,42.2,1.32,24,4.94,X,19.76,16,3.3,0.51,X,X,X,X,X,X,X,-17.8,13.62
Canada,North America,English,Christian,36027000,9093510,7.352,44712.888,50.41,0.7425,13.20727889,0.88,15.835,17.015,12.315,6.91,47.73,33.8,72,2.8,23.7,1.4,0.8,1.2,0.9,1,X,81.6,9.22,16,1.56,7.72,1.76,107,8.9,2.23,99.6,140.45,X,X,X,X,X,7.1,7.4
Switzerland,Northern Europe,Europe (other),Christian,8297000,39516.00098,7.512,81503.132,50.51,0.7736,13.65543657,0.255,10.75,19.51,28.4,4.8,40,32.7,81.3,5.5,11.9,0.4,0.4,0,0.1,0.3,X,73.9,9.03,27,1.54,10.89,0.59,81,11.5,1.01,X,93.85,34,68,70,58,0,9.9,8.2
Chile,Latin America and Caribbean,Spanish,Christian,17969000,743532.0313,6.59,14629.674,50.78,0.667,11.42382502,0.57,13.655,14.705,17.335,6.51,21.21,44.4,89.4,0.1,8.6,0,0.06,1.5,0.2,0.1,5,87.7,8.08,30,1.75,22.63,4.4,232,9.3,1.24,41.4,128.07,63,23,28,86,0,1.9,5.92
China,Eastern Asia,Chinese,Atheist,1406848000,9388210,5.22,9066.536,48.64,0.6908,9.119164073,0.74,5.79,14.215,39.115,4.61,44.44,38.5,5.1,1.8,52.2,0,18.2,21.9,0.7,0,6.5,61.4,2.26,16,1.67,39.12,0.53,120,7.2,1.08,X,160.05,80,20,66,40,118,-0.2,7.11
Ivory Coast,Sub-Saharan Africa,French,Mixed,23226000,318000,4.274,2137.146,49.42,0.5814,7.777696109,0.67,8.66,30.905,71.73,2.66,X,41.5,44.1,43.2,8,0,0,10.2,0.2,0,24.9,51.7,4.05,34,4.81,X,11.63,82,8.4,0.5,X,X,X,X,X,X,X,-0.7,10.77
Cameroon,Sub-Saharan Africa,French,Christian,23298000,472710,4.696,1429.868,50.04,0.656,7.887828,0.525,9.12,31.335,68.73,4.3,X,46.6,70.3,30,5.3,0,0,3.3,2.7,0,22.6,57.6,2.85,18,4.78,X,1.4,124,8.9,0.58,X,X,X,X,X,X,X,-0.3,10.05
Congo (Kinshasa),Sub-Saharan Africa,French,Christian,76245000,2267050,4.348,507.598,50.13,X,6.643680229,0.505,8.005,26.2,47.78,3.71,X,42.1,95.8,15,1.8,0.05,0,0.7,0.1,0,X,45.6,1.13,12,6.2,32.1,13.55,29,2.6,0.51,X,X,X,X,X,X,X,0,10.16
Congo (Brazzaville),Sub-Saharan Africa,French,Christian,4856000,341500,4.378,1916.028,50.11,X,9.176410771,0.59,10.075,31.465,58.735,10.02,X,48.9,85.9,2,9,0,0,2.8,1.1,0,X,67.8,3.11,26,4.59,X,9.32,27,7.8,0.56,X,X,X,X,X,X,X,-2.6,7.18
Colombia,Latin America and Caribbean,Spanish,Christian,47521000,1109500,6.342,6315.186,50.99,0.7171,5.704094382,0.915,7.94,6.285,7.315,8.24,30.43,50.4,86,0.2,11,0.01,0.01,1,2,0.01,6.7,81.4,7.13,33,1.86,14.61,25.34,246,5.8,1.1,X,196.41,67,13,64,80,0,-0.8,5.41
Comoros,Sub-Saharan Africa,French,Muslim,777000,1861.000061,3.963333333,1329.79,49.57,X,5.980690187,0.545,5.625,17.81,40.76,4.34,X,45.3,0.2,99.8,0,0,0,0,0,0,X,29.4,3.15,25,4.42,X,7.7,27,0.9,0.5,X,X,X,X,X,X,X,-2.7,7.49
Costa Rica,Latin America and Caribbean,Spanish,Christian,4848000,51060,7.128,11826.146,49.97,0.7241,8.230084482,0.54,10.605,11.125,9.115,9.26,47.17,48,90.9,0.1,7.9,0,0,0.8,0.3,0,5,80.8,8.13,19,1.81,10.4,11.26,374,4.8,0.77,X,X,35,15,21,86,0,0.8,4.86
Cyprus,Southern Europe,Europe (other),Christian,1161000,9240,5.734,26150.6,49.92,0.6801,5.611600943,0.06,6.74,6.73,6.12,14.92,30.67,31.4,73.2,25.3,1.2,0,0.2,0,0,0,X,66.8,7.59,34,1.35,19.72,1.26,86,10.8,0.57,X,108.24,X,X,X,X,X,4,6.84
Czech Republic,Eastern Europe,Europe (other),Atheist,10601000,77220,6.656,20541.528,50.87,0.677,14.62506717,0.275,14.095,19.825,24.005,5.05,50,24.9,23.3,0,76.4,0,0,0,0,0,X,74.1,7.69,33,1.57,14.45,0.6,197,14.4,0.95,57.1,92.7,57,58,57,74,0,1.1,10.5
Germany,Northern Europe,German,Christian,81787000,349360,6.93,44297.186,50.82,0.7583,14.51733515,0.245,11.375,18.735,28.415,4.62,40,31.9,68.7,5.8,24.7,0,0.3,0,0.1,0.3,X,77.5,8.68,30,1.5,11.01,0.95,77,13.4,0.89,56.5,106.2,35,67,66,65,31,4.8,11.3
Djibouti,Sub-Saharan Africa,French,Muslim,914000,23180,4.37,2985.26,47.14,X,5.435239433,0.535,5.305,18.58,42.245,5.86,X,44.6,2.3,96.9,0.2,0,0,0.3,0,0.2,30.9,X,2.77,35,2.91,X,6.48,66,0.5,0.52,X,X,X,X,X,X,X,1.4,7.84
Denmark,Northern Europe,Europe (other),Christian,5689000,41990,7.548,57254.54,50.27,0.7779,11.78907823,0.095,9.79,17.935,22.35,6.17,55.56,28.7,83.5,4.1,11.8,0.4,0.2,0,0,0,X,88.1,9.22,36,1.71,9.6,1.01,63,10.4,0.88,77,87.98,18,74,16,23,0,3.8,9.2
Dominican Republic,Latin America and Caribbean,Spanish,Christian,10282000,48310,5.202,7628.898,49.94,0.6867,8.777048193,0.485,10.05,15.745,23.115,5.92,40.91,43.7,88,0.1,10.9,0,0,0.9,0.1,0,9.2,82.5,6.54,23,2.41,X,10.05,237,6.9,0.66,X,X,X,X,X,X,X,-3.1,6.08
