Country,Duration of compulsory education (years),"Gross enrolment ratio, lower secondary, both sexes (%)","Gross enrolment ratio, lower secondary, female (%)","Gross enrolment ratio, lower secondary, gender parity index (GPI)","Gross enrolment ratio, lower secondary, male (%)","Gross enrolment ratio, primary and lower secondary, both sexes (%)","Gross enrolment ratio, primary and lower secondary, female (%)","Gross enrolment ratio, primary and lower secondary, gender parity index (GPI)","Gross enrolment ratio, primary and lower secondary, male (%)","Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, primary, female (%)","Gross enrolment ratio, primary, gender parity index (GPI)","Gross enrolment ratio, primary, male (%)","Gross enrolment ratio, secondary, both sexes (%)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of primary education, both sexes (%)","Gross intake ratio to Grade 1 of primary education, female (%)","Gross intake ratio to Grade 1 of primary education, gender parity index (GPI)","Gross intake ratio to Grade 1 of primary education, male (%)","Gross outbound enrolment ratio, all regions, both sexes (%)",Internet users (per 100 people),"Labor force, female (% of total labor force)","Labor force, total","Mortality rate, under-5 (per 1,000)","Net enrolment rate, lower secondary, both sexes (%)","New entrants to Grade 1 of primary education, percentage female (%)",Official entrance age to compulsory education (years),Official entrance age to early childhood education (years),Official entrance age to lower secondary education (years),Official entrance age to pre-primary education (years),Official entrance age to primary education (years),Official entrance age to upper secondary education (years),Percentage of enrolment in lower secondary education in private institutions (%),Percentage of enrolment in primary education in private institutions (%),Percentage of enrolment in secondary education in private institutions (%),Percentage of enrolment in upper secondary education in private institutions (%),Percentage of students in lower secondary education who are female (%),Percentage of students in lower secondary general education who are female (%),Percentage of students in primary education who are female (%),Percentage of students in secondary education who are female (%),Percentage of students in secondary general education who are female (%),Percentage of students in upper secondary education who are female (%),Percentage of students in upper secondary general education who are female (%),"Gross enrolment ratio, pre-primary, both sexes (%)","Gross enrolment ratio, pre-primary, female (%)","Gross enrolment ratio, pre-primary, gender parity index (GPI)","Gross enrolment ratio, pre-primary, male (%)","Outbound mobility ratio, all regions, both sexes (%)",Percentage of enrolment in pre-primary education in private institutions (%),Percentage of students in pre-primary education who are female (%),Percentage of students in tertiary education who are female (%),Percentage of students in early childhood education who are female (%),"Gross enrolment ratio, early childhood education, both sexes (%)"
Lesotho,7,71.34966333,81.61883,1.33628,61.09741,104.1474167,105.1771833,1.020046667,103.1127933,118.4090967,115.3745467,0.949853333,121.4664133,60.40312,43.52444,119.5198933,113.33112,0.90129,125.74174,1.396416667,27.12,45.29118511,951017.6,86.275,33.246375,47.53615,6,3,13,3,6,16,1.28706,4.116116667,1.99834,3.65941,57.15545667,57.15479667,48.90102333,57.25520667,57.21276333,57.52508,57.37298333,39.14128,39.76499,1.03247,38.518425,13.11962,24.302825,50.77987,60.60256667,50.77987,39.14128
Dominican Republic,15,90.6921775,91.12689,1.0096625,90.2700175,103.201995,100.4249725,0.948595,105.887305,108.8006425,104.6189775,0.9274575,112.83574,79.8850275,70.051335,109.4791325,108.52021,0.9831625,110.398235,0.454453333,65.12053891,39.80286138,4835350.8,30.1,61.75557,48.5303375,3,3,12,3,6,14.6,17.4386875,22.83781,18.0878225,18.861605,49.51657,49.51657,47.222675,51.5277925,50.88274,53.8982175,52.721985,49.846345,50.633245,1.0318325,49.0873075,0.821923333,54.8992125,49.898365,64.08549667,49.898365,49.846345
Laos,6,78.0109925,75.5148025,0.938865,80.4378425,95.0321925,92.6012775,0.951,97.3868825,107.9989375,105.660515,0.95845,110.2576725,66.1515225,50.2246075,104.3168675,102.3636225,0.963875,106.1993225,0.69648,21.86014503,49.04519365,3660549.2,50.375,58.320145,48.155175,6,0,11,3,6,15,3.061676667,5.52706,2.788056667,2.20082,47.712,47.7325025,48.06777,47.398985,47.375095,46.74693,46.598385,41.07414,41.69238,1.030535,40.479195,4.121253333,18.0049525,49.790675,49.92275,49.726755,21.9418775
Mongolia,12,97.366245,96.72133,0.98697,97.99856,101.143425,100.146515,0.98069,102.11921,102.576655,101.4427975,0.9783975,103.68567,0,89.60504,105.0799425,103.4912,0.9705425,106.6321475,4.003903333,22.82667993,45.59843199,1304785,17.4,88.90614,48.6714075,6,2,11,2,6,15,5.3417,5.6794225,0,10.90272,49.180025,49.180025,48.9009425,0,0,51.06749,54.43435,83.47457,83.3966025,0.9982175,83.55061,6.135413333,13.233075,49.33745,57.827785,49.33745,83.47457
Swaziland,7,87.07956,87.156165,1.00175,87.003275,109.266845,105.449085,0.93266,113.06484,117.0568433,111.88937,0.915813333,122.18605,79.22363,67.04624,95.78452667,93.86582333,0.96105,97.673,2.15155,33.73885503,48.26937779,360258.8,59.275,29.06143,48.60459333,6,3,13,3,6,16,1.66227,1.687876667,2.163285,3.178595,49.942615,50.01326667,47.61070333,49.658895,49.98038,49.09559,49.90821667,0,0,0,0,0,0,0,0,0,0
Greece,10,101.09806,98.59261333,0.95255,103.5021967,99.99202,99.01933333,0.981193333,100.9167067,99.45250333,99.23215,0.9957,99.66142667,103.21784,105.2953867,101.67386,102.1718533,1.009593333,101.2067433,6.77177,69.85611078,43.96713669,4806306.2,4.6,93.44056,48.66032333,5,0,12,4,6,15,4.51132,5.36986,4.260256667,4.024093333,47.75048333,47.94825667,48.49448333,47.39860667,50.10983333,47.0678,52.94473667,74.22261,74.73137,1.01337,73.74612667,5.029155,8.70964,48.69803333,48.53924,0,37.91649
Lebanon,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.09692496,24.34342374,2330973.2,7.85,0,48.2033425,6,3,12,3,6,15,65.513795,72.343565,60.68622,54.84685,50.294895,51.4930425,48.218335,51.071465,53.0850975,52.01006,55.509805,0,0,0,0,7.27179,75.443645,48.4053525,0,48.4053525,0
Hungary,13,99.49166,98.65380667,0.98383,100.28222,100.5808467,100.06416,0.990066667,101.0696933,101.6698,101.4703733,0.996176667,101.8590467,103.0781767,106.52462,98.0299,97.86499667,0.996593333,98.18764667,1.88659,76.22975497,45.59783757,4690364.2,4.675,88.10186333,48.65339,4,2,11,3,7,15,16.803615,16.02645667,22.30855,27.10926,48.14358,48.20091333,48.58413,48.58767667,49.94593,48.98595,51.95258,81.68902667,80.21402333,0.965346667,83.09429667,3.891366667,10.05395667,47.90844333,54.37803,47.89717333,69.28037
Honduras,12,63.64752333,66.54986667,1.093683333,60.86093667,82.63817,83.50354667,1.02073,81.8074,92.29909667,92.12916333,0.996416667,92.46221667,51.57140333,39.47579333,95.22181333,95.09089667,0.997246667,95.34745,0.44648,29.43333333,37.19898403,4303518.8,18.525,40.77816667,48.90205,5,3,12,3,6,15,23.24369,9.697273333,26.36006667,31.39618667,51.21654333,51.9466,48.88907,52.96781667,52.84657333,55.79903667,57.84476,39.45195,40.04195,1.03012,38.88639,2.18909,12.99575,49.67720333,56.9799775,49.67720333,39.45195
Tajikistan,9,99.33555,97.69795,0.9684,100.8884467,99.10654667,97.96192333,0.977753333,100.18996,98.81732,98.23174667,0.98854,99.37042,0,0,101.7364867,100.8225667,0.982693333,102.5993733,2.212883333,20.47,37.5036761,2369477,36.35,98.37895667,48.12793333,7,3,11,3,7,16,1.003616667,1.2283,0,0,47.86860667,47.86860667,48.2863,0,47.33294,0,45.54592667,10.19704667,9.455603333,0.86793,10.89793333,7.615313333,0,45.06354,40.74739667,45.06354,10.19704667
